epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,569.63,0.9088,0.83765,1.27552,0.66896,0.96667,0.9323,0.71972,1.34261,0.76935,1.88043,0.000877263,0.000877263,0.000877263
80,576.029,0.91552,0.78907,1.26059,0.70775,0.58333,0.9075,0.63388,1.43148,1.00996,1.97323,0.00087019,0.00087019,0.00087019
81,584.896,0.88835,0.7939,1.21786,0.72548,0.85,0.7283,0.49329,1.3925,1.06639,2.02744,0.000863116,0.000863116,0.000863116
82,590.486,0.8932,0.75678,1.21911,0.74498,0.75283,0.92159,0.62859,1.53232,1.02491,2.12008,0.000856042,0.000856042,0.000856042
83,597.784,0.90526,0.77583,1.25239,0.90722,0.72743,0.97068,0.69694,1.45984,1.07242,2.05722,0.000848969,0.000848969,0.000848969
84,605.277,0.92846,0.77505,1.2494,0.9198,0.71843,0.9065,0.69863,1.27314,1.07733,1.99344,0.000841895,0.000841895,0.000841895
85,610.859,0.90728,0.78658,1.25538,0.75801,0.89866,0.7862,0.55568,1.35767,1.10446,1.98418,0.000834822,0.000834822,0.000834822
86,620.06,0.88195,0.75554,1.21591,0.52855,0.74863,0.69423,0.49795,1.30108,1.37779,1.83101,0.000827748,0.000827748,0.000827748
87,625.748,0.87847,0.79084,1.20494,0.49816,0.78817,0.68646,0.4901,1.36303,1.36119,1.95992,0.000820675,0.000820675,0.000820675
88,631.609,0.8748,0.79229,1.2308,0.76306,0.80865,0.9172,0.67869,1.35728,1.15809,2.02123,0.000813601,0.000813601,0.000813601
89,640.759,0.85512,0.72496,1.18501,0.79321,0.82469,0.9005,0.6787,1.42097,1.04368,2.08343,0.000806528,0.000806528,0.000806528
90,646.586,0.93117,0.80489,1.25919,0.8116,0.83333,0.95214,0.66474,1.38854,0.93664,2.09363,0.000799454,0.000799454,0.000799454
91,653.233,0.81884,0.68297,1.20092,0.90982,0.82917,0.95535,0.66435,1.36647,0.74972,2.19228,0.00079238,0.00079238,0.00079238
92,660.59,0.81692,0.72807,1.18397,0.88939,0.56285,0.767,0.55995,1.39572,1.07354,2.05295,0.000785307,0.000785307,0.000785307
93,666.148,0.87074,0.74326,1.25947,0.91622,0.47214,0.53688,0.35984,1.29878,1.35024,1.97761,0.000778233,0.000778233,0.000778233
94,673.872,0.85347,0.74884,1.21508,0.49759,0.71524,0.64007,0.42828,1.39942,1.40479,2.01466,0.00077116,0.00077116,0.00077116
95,680.81,0.85623,0.72717,1.20959,0.45263,0.63333,0.69566,0.47573,1.37933,1.15091,2.00455,0.000764086,0.000764086,0.000764086
96,686.287,0.79302,0.66692,1.1746,0.94595,0.4,0.62116,0.46881,1.1933,1.11523,1.84188,0.000757013,0.000757013,0.000757013
97,694.72,0.84991,0.68485,1.22467,0.85501,0.74458,0.82522,0.64425,1.14462,1.04813,1.70364,0.000749939,0.000749939,0.000749939
98,701.408,0.80751,0.70419,1.14961,0.70293,0.71796,0.83425,0.64158,1.20116,1.11073,1.79662,0.000742866,0.000742866,0.000742866
99,706.937,0.79021,0.69961,1.16958,0.6463,0.82524,0.91147,0.61599,1.4784,1.20387,2.1787,0.000735792,0.000735792,0.000735792
100,716.347,0.82629,0.69522,1.17091,0.77392,0.55271,0.6257,0.42897,1.34866,1.36117,2.05504,0.000728719,0.000728719,0.000728719
101,722.045,0.78575,0.6663,1.14723,0.90776,0.45,0.55936,0.35575,1.34901,1.44208,2.09477,0.000721645,0.000721645,0.000721645
102,728.48,0.82026,0.70502,1.17331,0.90496,0.48333,0.65439,0.47972,1.27661,1.20232,2.04109,0.000714571,0.000714571,0.000714571
103,737.422,0.8004,0.72421,1.17829,0.91766,0.48333,0.63961,0.45312,1.36939,1.12749,2.07708,0.000707498,0.000707498,0.000707498
104,742.999,0.79921,0.68436,1.15954,0.46982,0.6297,0.74245,0.50596,1.40206,0.91726,2.16574,0.000700424,0.000700424,0.000700424
105,749.327,0.80623,0.7173,1.20255,0.97001,0.45,0.69011,0.44129,1.45614,0.94378,2.24766,0.000693351,0.000693351,0.000693351
106,757.385,0.82073,0.7014,1.1693,0.8707,0.48843,0.6344,0.44403,1.47138,1.07504,2.17098,0.000686277,0.000686277,0.000686277
107,763.162,0.78214,0.63979,1.12547,0.86265,0.47947,0.6608,0.48307,1.32081,1.1511,2.00468,0.000679204,0.000679204,0.000679204
108,771.716,0.77575,0.68528,1.17072,0.61152,0.80306,0.68291,0.48768,1.45575,1.10473,2.10476,0.00067213,0.00067213,0.00067213
109,778.051,0.76707,0.63863,1.13917,0.54031,0.51174,0.63014,0.43459,1.4127,1.28519,2.10559,0.000665057,0.000665057,0.000665057
110,783.619,0.75241,0.62229,1.11984,0.91896,0.49432,0.63846,0.40274,1.31909,1.23693,2.06691,0.000657983,0.000657983,0.000657983
111,792.6,0.71448,0.62801,1.11038,0.98914,0.41667,0.56509,0.35631,1.30808,1.1908,2.06837,0.000650909,0.000650909,0.000650909
112,798.421,0.78386,0.64818,1.15474,0.91968,0.4886,0.64594,0.43298,1.23853,1.1124,2.00138,0.000643836,0.000643836,0.000643836
113,804.406,0.73538,0.61867,1.13152,1,0.50863,0.74611,0.53676,1.31706,0.91158,2.04854,0.000636762,0.000636762,0.000636762
114,813.499,0.74422,0.63436,1.11558,0.92349,0.50806,0.72789,0.51001,1.23025,0.88277,1.9591,0.000629689,0.000629689,0.000629689
115,818.982,0.71501,0.5958,1.08789,0.86707,0.58909,0.75328,0.52854,1.31152,0.89855,1.96888,0.000622615,0.000622615,0.000622615
116,826.085,0.72431,0.5938,1.11768,0.66469,0.93333,0.91075,0.72215,1.36383,0.91165,1.98313,0.000615542,0.000615542,0.000615542
117,833.683,0.73485,0.6224,1.15119,0.73419,0.92388,0.93238,0.67171,1.30872,0.91962,1.9925,0.000608468,0.000608468,0.000608468
118,839.467,0.71266,0.60183,1.11166,0.8265,0.9,0.96806,0.72579,1.39077,0.90687,2.12532,0.000601395,0.000601395,0.000601395
119,846.99,0.73713,0.63947,1.12165,0.79536,0.90185,0.9514,0.7092,1.28494,0.77558,1.97627,0.000594321,0.000594321,0.000594321
120,854.41,0.68603,0.58165,1.10694,0.74677,0.99048,0.97225,0.74237,1.3647,0.79397,2.04388,0.000587248,0.000587248,0.000587248
121,859.873,0.71889,0.65111,1.10683,0.79898,0.99274,0.96421,0.71432,1.29349,0.90743,1.95455,0.000580174,0.000580174,0.000580174
122,868.023,0.71115,0.60347,1.13304,0.89341,0.78528,0.94339,0.73174,1.4243,0.82612,2.0255,0.0005731,0.0005731,0.0005731
123,874.262,0.71965,0.61273,1.10781,0.95993,0.76053,0.94104,0.69937,1.32014,0.76245,1.99027,0.000566027,0.000566027,0.000566027
124,879.67,0.67647,0.56877,1.06817,0.68668,1,0.94891,0.68128,1.36789,0.827,2.08986,0.000558953,0.000558953,0.000558953
125,888.567,0.7069,0.60915,1.11154,0.87208,0.51158,0.71651,0.49378,1.46058,1.30128,2.15928,0.00055188,0.00055188,0.00055188
126,894.523,0.68642,0.57298,1.09091,0.87106,0.51667,0.6241,0.42759,1.40496,1.44983,2.06087,0.000544806,0.000544806,0.000544806
127,900.262,0.66041,0.56117,1.09251,0.89403,0.51122,0.70263,0.46868,1.35394,1.27901,2.06888,0.000537733,0.000537733,0.000537733
128,909.539,0.6692,0.5832,1.09708,0.9055,0.48333,0.89574,0.68275,1.28656,1.22163,2.04331,0.000530659,0.000530659,0.000530659
129,914.945,0.67582,0.55793,1.08075,0.84743,0.51667,0.89979,0.64107,1.37557,1.26717,2.16801,0.000523586,0.000523586,0.000523586
130,921.355,0.69852,0.59679,1.11193,0.72712,0.46667,0.86926,0.64423,1.42404,1.45464,2.18381,0.000516512,0.000516512,0.000516512
131,929.729,0.70417,0.58514,1.09847,0.58417,0.8699,0.88081,0.66055,1.4195,1.2965,2.18066,0.000509438,0.000509438,0.000509438
132,935.409,0.71869,0.6139,1.15284,0.73611,0.51667,0.88168,0.66533,1.43425,1.23131,2.17488,0.000502365,0.000502365,0.000502365
133,942.887,0.66662,0.56692,1.08345,0.49939,0.87958,0.72196,0.52931,1.27149,1.22871,1.99671,0.000495291,0.000495291,0.000495291
134,949.807,0.65398,0.54203,1.06213,0.48852,0.91888,0.88946,0.65049,1.34628,1.12057,2.1995,0.000488218,0.000488218,0.000488218
135,955.43,0.67691,0.61481,1.09632,0.62255,0.897,0.87679,0.65336,1.39197,1.12843,2.3105,0.000481144,0.000481144,0.000481144
